SimulationTime	VehicleID	x	y	speed	angle
1000.00	PKW4984	2014.54	1015.50	0.00	92.16
1000.00	PKW5468	2523.41	589.02	8.74	291.56
1000.00	PKW5316	1900.35	1375.41	0.00	29.79
1000.00	PKW5082	1165.40	1581.73	13.89	347.18
1000.00	PKW4999	1869.61	2346.18	0.00	190.66
1000.00	PKW5128	1392.39	1090.02	13.89	87.77
1000.00	PKW5447	2793.29	2988.93	13.89	178.68
1000.00	PKW5522	2788.24	2125.14	12.96	199.52
1000.00	PKW4529	1889.72	1354.16	5.70	39.34
1000.00	PKW5192	2255.90	987.68	13.89	288.15
1000.00	PKW5498	1379.00	1889.47	0.00	4.50
1000.00	PKW4801	1355.59	1098.19	13.89	267.77
1000.00	PKW5427	2348.51	2803.71	13.89	146.79
1000.00	PKW5552	2017.64	466.37	13.89	266.63
1000.00	PKW5253	1767.66	1082.39	0.00	289.68
1000.00	PKW5345	851.09	1068.96	13.89	87.77
1000.00	PKW4871	2378.43	2681.00	2.60	276.71
1000.00	PKW3991	3038.90	725.08	13.89	104.88
1000.00	PKW5511	2584.61	2544.59	13.89	129.77
1000.00	PKW5545	2328.06	938.77	13.89	108.76
1000.00	PKW4765	1527.40	705.58	13.66	46.39
1000.00	PKW5561	323.79	1045.25	13.89	87.77
1000.00	LKW242	2581.33	530.93	2.60	86.28
1000.00	LKW243	2055.97	1721.21	0.00	110.92
1000.00	PKW5112	1495.58	1066.96	13.07	345.10
1000.00	PKW3477	1459.57	3089.70	13.89	308.46
1000.00	PKW4486	1408.56	3130.23	13.89	308.46
1000.00	PKW4890	1859.85	1833.52	0.00	215.00
1000.00	PKW4277	1639.30	1437.31	13.89	207.58
1000.00	PKW5156	2190.43	1005.60	13.89	287.80
1000.00	routeFlow_bus34Hc.1	2557.66	1202.54	13.62	175.65
1000.00	PKW5411	1995.91	1539.09	13.89	215.56
1000.00	PKW4061	1082.83	2052.90	13.89	345.61
1000.00	PKW3998	1612.95	2967.87	13.89	308.46
1000.00	PKW4482	1521.17	1222.13	0.00	209.89
1000.00	PKW5274	1635.27	576.13	2.60	95.73
1000.00	PKW5148	1680.59	573.93	10.40	88.10
1000.00	PKW5046	3031.57	2089.99	13.89	114.83
1000.00	PKW5334	2729.10	2435.70	7.80	132.31
1000.00	PKW4396	1368.68	1293.60	13.89	305.41
1000.00	PKW5019	1774.47	1080.00	0.00	288.52
1000.00	PKW3252	3750.64	1938.73	13.89	93.65
1000.00	PKW5210	1198.08	1082.46	13.89	87.77
1000.00	PKW5077	2837.79	2298.63	0.00	146.60
1000.00	PKW4803	3002.94	1986.48	13.89	93.65
1000.00	PKW5097	1971.60	1968.24	8.95	227.87
1000.00	LKW225	2848.54	2214.50	6.50	21.27
1000.00	PKW5524	2797.00	2149.82	13.89	199.52
1000.00	PKW4338	2375.45	923.08	0.71	107.95
1000.00	PKW3341	3045.63	1983.75	13.89	93.65
1000.00	LKW235	1356.16	3171.85	13.89	308.46
1000.00	PKW5492	2781.52	2106.40	0.00	200.07
1000.00	PKW5407	2906.61	2231.95	0.00	332.60
1000.00	PKW4477	2938.89	1990.57	13.89	93.65
1000.00	PKW4077	1071.09	2098.63	13.89	345.61
1000.00	PKW5384	1451.71	673.70	0.00	129.52
1000.00	PKW4731	2956.20	747.05	13.89	104.88
1000.00	PKW5362	809.57	1064.14	13.89	87.77
1000.00	LKW251	2336.80	2679.49	6.00	270.54
1000.00	PKW5315	2677.08	819.92	13.89	104.36
1000.00	PKW4032	1963.02	2630.90	9.09	24.44
1000.00	PKW4679	1999.56	1016.29	0.00	93.42
1000.00	PKW4805	2814.92	2123.94	0.00	19.92
1000.00	PKW5237	1913.19	2709.14	13.89	126.60
1000.00	PKW5402	1131.39	1740.80	13.89	161.45
1000.00	PKW3644	1971.30	2648.58	0.09	25.11
1000.00	PKW4336	2856.58	2230.72	10.40	11.57
1000.00	PKW5433	1719.63	1857.80	13.89	108.41
1000.00	PKW5190	2767.77	2079.88	0.00	203.15
1000.00	PKW5365	1865.08	2339.40	0.00	190.66
1000.00	LKW230	1991.84	1963.48	11.70	46.83
1000.00	PKW4888	2324.61	2679.57	4.31	270.31
1000.00	PKW4617	1830.22	1242.19	13.89	27.15
1000.00	PKW4291	2802.68	2343.91	9.12	146.37
1000.00	PKW5040	2551.13	1267.95	11.25	172.71
1000.00	PKW4368	2847.09	2347.72	13.89	327.03
1000.00	PKW5380	1447.66	668.75	0.00	129.52
1000.00	PKW4966	1933.82	1967.55	11.55	324.84
1000.00	PKW5169	2094.45	469.48	0.00	264.95
1000.00	LKW253	1705.47	1050.08	0.37	106.50
1001.00	PKW4984	2014.54	1015.50	0.00	92.16
1001.00	PKW5468	2519.47	590.58	4.24	291.56
1001.00	PKW5316	1900.35	1375.41	0.00	29.79
1001.00	PKW5082	1162.46	1595.36	13.89	348.93
1001.00	PKW4999	1869.61	2346.18	0.00	190.66
1001.00	PKW5128	1406.27	1090.56	13.89	87.77
1001.00	PKW5447	2793.61	2975.04	13.89	178.68
1001.00	PKW5522	2785.42	2117.17	8.46	199.52
1001.00	PKW4529	1890.48	1355.09	1.20	39.34
1001.00	PKW5192	2243.48	991.76	13.08	288.20
1001.00	PKW5498	1379.00	1889.47	0.00	4.50
1001.00	PKW4801	1341.71	1097.65	13.89	267.77
1001.00	PKW5427	2356.11	2792.09	13.89	146.79
1001.00	PKW5552	2003.87	466.01	13.89	270.51
1001.00	PKW5253	1765.20	1083.10	2.60	287.76
1001.00	PKW5345	864.97	1069.50	13.89	87.77
1001.00	PKW4871	2373.22	2681.28	5.20	273.06
1001.00	PKW3991	3052.33	721.51	13.89	104.88
1001.00	PKW5511	2595.28	2535.71	13.89	129.77
1001.00	PKW5545	2341.21	934.30	13.89	108.76
1001.00	PKW4765	1537.46	715.16	13.89	46.39
1001.00	PKW5561	337.66	1045.79	13.89	87.77
1001.00	LKW242	2585.22	531.18	3.90	86.28
1001.00	LKW243	2055.97	1721.21	0.00	110.92
1001.00	PKW5112	1492.44	1074.94	8.57	338.35
1001.00	PKW3477	1448.70	3098.34	13.89	308.46
1001.00	PKW4486	1397.68	3138.86	13.89	308.46
1001.00	PKW4890	1859.85	1833.52	0.00	215.00
1001.00	PKW4277	1632.87	1425.00	13.89	207.58
1001.00	PKW5156	2177.19	1009.71	13.89	286.24
1001.00	routeFlow_bus34Hc.1	2558.68	1188.74	13.72	175.68
1001.00	PKW5411	1987.83	1527.79	13.89	215.56
1001.00	PKW4061	1079.38	2066.35	13.89	345.61
1001.00	PKW3998	1602.07	2976.51	13.89	308.46
1001.00	PKW4482	1521.17	1222.13	0.00	209.89
1001.00	PKW5274	1640.46	575.61	5.20	95.73
1001.00	PKW5148	1693.58	574.10	13.00	92.22
1001.00	PKW5046	3044.25	2084.12	13.89	114.83
1001.00	PKW5334	2736.79	2428.70	10.40	132.31
1001.00	PKW4396	1357.38	1301.69	13.89	305.98
1001.00	PKW5019	1774.47	1080.00	0.00	288.52
1001.00	PKW3252	3764.50	1937.84	13.89	93.65
1001.00	PKW5210	1211.96	1083.00	13.89	87.77
1001.00	PKW5077	2837.79	2298.63	0.00	146.60
